Experiment,Group,Contiguity,Landmark_Size,Mean_Training,Test_Score
Exp5,0,Control,Unknown,51.626000000000005,0.0
Exp5,0,Control,Unknown,34.55199999999999,4.573
Exp5,0,Control,Unknown,44.115999999999985,7.394000000000002
Exp5,0,Control,Unknown,55.1406875,9.314
Exp5,0,Control,Unknown,38.3944375,9.396999999999998
Exp5,0,Control,Unknown,65.736125,0.0
Exp5,0,Control,Unknown,51.60418749999999,3.9499999999999993
Exp5,0,Control,Unknown,52.9049375,2.083
Exp5,0,Control,Unknown,44.83931250000001,16.336
Exp5,0,Control,Unknown,29.0203125,3.366999999999999
Exp5,0,Control,Unknown,26.350125000000002,11.512
Exp5,0,Control,Unknown,56.962937499999995,0.4190000000000005
Exp5,0,Control,Unknown,30.570062500000002,9.758
Exp5,0,Control,Unknown,61.3528125,0.0
Exp5,0,Control,Unknown,51.12468749999999,4.18
Exp5,0,Control,Unknown,34.37324999999999,5.581999999999999
Exp5,0,Control,Unknown,68.4196875,1.4719999999999995
Exp5,0,Control,Unknown,59.1508125,0.0
Exp5,0,Control,Unknown,48.39462499999999,2.715
Exp5,0,Control,Unknown,76.04350000000001,0.0
Exp5,0,Control,Unknown,35.8905,4.031000000000002
Exp5,0,Control,Unknown,52.37518749999999,4.1499999999999995
Exp5,0,Control,Unknown,29.247249999999998,10.989999999999998
Exp5,0,Control,Unknown,51.4183125,4.1469999999999985
Exp5,0,Control,Unknown,66.6228125,0.0
Exp5,0,Control,Unknown,50.86587499999999,0.0
Exp5,1,Contiguous,Unknown,21.974312499999993,0.0
Exp5,1,Contiguous,Unknown,35.824812500000014,0.0
Exp5,1,Contiguous,Unknown,16.668624999999995,0.0
Exp5,1,Contiguous,Unknown,11.546874999999998,2.132999999999999
Exp5,1,Contiguous,Unknown,12.4700625,0.0
Exp5,1,Contiguous,Unknown,17.537937500000005,5.2570000000000014
Exp5,1,Contiguous,Unknown,12.261750000000001,0.0
Exp5,1,Contiguous,Unknown,37.861999999999995,0.2729999999999997
Exp5,1,Contiguous,Unknown,30.151812500000002,0.0
Exp5,1,Contiguous,Unknown,44.481,0.0
Exp5,1,Contiguous,Unknown,16.416625,0.0
Exp5,1,Contiguous,Unknown,28.3265,0.0
Exp5,1,Contiguous,Unknown,7.921062499999998,0.0
Exp5,1,Contiguous,Unknown,14.061125000000002,3.8989999999999974
Exp5,1,Contiguous,Unknown,10.677125000000002,0.0
Exp5,1,Contiguous,Unknown,8.5709375,7.962999999999997
Exp5,1,Contiguous,Unknown,30.4245625,4.165000000000003
Exp5,1,Contiguous,Unknown,17.301437500000002,0.0
Exp5,1,Contiguous,Unknown,11.642687500000001,5.948999999999998
Exp5,1,Contiguous,Unknown,23.627312499999995,2.0779999999999994
Exp5,1,Contiguous,Unknown,23.365624999999994,6.735999999999997
Exp5,1,Contiguous,Unknown,13.454812499999997,0.0
Exp5,1,Contiguous,Unknown,43.845062500000004,0.0
Exp5,1,Contiguous,Unknown,13.328749999999996,0.0
Exp5,1,Contiguous,Unknown,11.976374999999997,0.0
Exp5,1,Contiguous,Unknown,17.828375,6.861000000000001
Exp5,2,Discontiguous,Unknown,38.831125000000014,3.5090000000000003
Exp5,2,Discontiguous,Unknown,24.266125,0.0
Exp5,2,Discontiguous,Unknown,49.7805,0.0
Exp5,2,Discontiguous,Unknown,35.688312499999995,4.2719999999999985
Exp5,2,Discontiguous,Unknown,57.379062499999996,1.0390000000000015
Exp5,2,Discontiguous,Unknown,46.27474999999998,0.0
Exp5,2,Discontiguous,Unknown,32.3293125,1.911999999999999
Exp5,2,Discontiguous,Unknown,31.70475,7.9830000000000005
Exp5,2,Discontiguous,Unknown,45.989125,0.0
Exp5,2,Discontiguous,Unknown,29.343437499999997,0.0
Exp5,2,Discontiguous,Unknown,42.250687500000005,0.0
Exp5,2,Discontiguous,Unknown,54.925250000000005,1.0470000000000006
Exp5,2,Discontiguous,Unknown,19.29575,12.956999999999999
Exp5,2,Discontiguous,Unknown,22.3766875,3.814
Exp5,2,Discontiguous,Unknown,17.4853125,8.123000000000001
Exp5,2,Discontiguous,Unknown,17.2753125,15.966000000000001
Exp5,2,Discontiguous,Unknown,16.285312500000003,11.344999999999999
Exp5,2,Discontiguous,Unknown,43.97000000000001,0.0
Exp5,2,Discontiguous,Unknown,44.1016875,1.1140000000000008
Exp5,2,Discontiguous,Unknown,22.830250000000007,7.849
Exp5,2,Discontiguous,Unknown,48.83506250000001,2.120000000000001
Exp5,2,Discontiguous,Unknown,30.050375,2.198999999999998
Exp5,2,Discontiguous,Unknown,32.8549375,0.472999999999999
Exp5,2,Discontiguous,Unknown,57.6540625,0.0
Exp5,2,Discontiguous,Unknown,39.19875000000001,4.338000000000001
Exp5,2,Discontiguous,Unknown,37.642375,2.1389999999999993
Exp1_Suppl,0,Control,None,57.70118750000001,0.0
Exp1_Suppl,0,Control,None,24.06475,3.455
Exp1_Suppl,0,Control,None,46.755562499999996,6.3530000000000015
Exp1_Suppl,0,Control,None,19.705999999999996,12.122000000000003
Exp1_Suppl,0,Control,None,47.3838125,6.376000000000001
Exp1_Suppl,0,Control,None,15.875687500000002,10.995999999999999
Exp1_Suppl,0,Control,None,29.894625000000005,13.890999999999998
Exp1_Suppl,0,Control,None,40.74081249999999,12.61
Exp1_Suppl,0,Control,None,35.5425625,5.885999999999999
Exp1_Suppl,0,Control,None,44.517,2.6659999999999995
Exp1_Suppl,0,Control,None,25.1811875,16.528
Exp1_Suppl,0,Control,None,28.9824375,4.013999999999999
Exp1_Suppl,0,Control,None,46.2979375,7.1179999999999986
Exp1_Suppl,0,Control,None,25.812625000000004,8.166000000000002
Exp1_Suppl,0,Control,None,18.309125,6.583999999999998
